NYCOOA,NYCOOA,9
DOE,School - PS 214 Cadwallader Colden,9
DOE,School - PS 289 George V Brower,9
DCLA,DCLA,9
DOE,School - Science Skills Center High School for Science, Technology, and the Creative Arts,9
DOE,School - JHS 291 Roland Hayes,9
DOE,School - PS 171 Peter G Van Alst,9
DOE,School - Thurgood Marshall Academy for Learning and Social Change,9
DOE,School - PS 211,9
DOE,School - Francis Lewis High School,9
DOE,School - PS 157 Benjamin Franklin,9
DOE,School - School for Environmental Citizenship,9
DOE,School - PS 161 Pedro Albizu Campos,9
DOE,School - Learners and Leaders,9
DOE,School - PS 23 The New Childrens School,9
DOE,School - PS 1 Alfred E Smith,9
DOE,School - PS 57 Hubert H Humphrey,9
DOE,School - Medgar Evers College Preparatory School,9
DOE,School - Grace Dodge Career and Technical Education High School,9
DOE,School - PS 200- The James McCune Smith School,9
DOE,School - PS 360,9
DOE,School - Gaynor McCown Expeditionary Learning School,9
DOE,School - PS MS 42 R Vernam,9
DOE,School - PS 209 Clearview Gardens,9
DOE,School - Flushing High School,9
DOE,School - Ralph A Fabrizio School,9
DOE,School - PS 33 Timothy Dwight,9
DOE,School - PS 13 Clement C Moore,9
DOE,School - Magnet School of Math, Science and Design Technology,9
DOE,School - PS 229 Emanuel Kaplan,9
DOE,School - PS 297 Abraham Stockton,9
DOE,School - PS 85 Great Expectations,9
DOE,School - High School for Law, Advocacy and Community Justice,9
DOE,School - PS 178 Saint Clair McKelway,9
DOE,School - PS 152 Evergreen,8
DOE,School - Frederick Douglass Academy VII High School,8
DOE,School - PS 230 Dr Roland N Patterson,8
DOE,School - 47 The American Sign Language and English Secondary School,8
DOE,School - JHS 80 The Mosholu Parkway,8
DOE,School - Enterprise, Business, and Technology High School,8
DOE,School - Manhattan Bridges High School,8
DOE,School - Richard R Green High School of Teaching,8
DOE,School - East New York Family Academy,8
DOE,School - PS 256 Benjamin Banneker,8
DOE,School - PS 143 Louis Armstrong,8
DOE,School - PS 20 Port Richmond,8
DOE,School - New World High School,8
DOE,School - Cobble Hill School of American Studies,8
DOE,School - Academy for Environmental Leadership,8
DOE,School - PS 214,8
DOE,School - PS 189 Lincoln Terrace,8
DCAS,DCAS,8
DOE,School - IS 381,8
DOE,School - Manhattan Theatre Lab High School,8
DOE,School - PS 179 Kensington,8
DOE,School - PS 87 Bronx,8
DOE,School - PS 168,8
DOE,School - PS 24 Spuyten Duyvil,8
DOE,School - PS 153 Helen Keller,8
DOE,School - IS 206 Ann Mersereau,8
DOE,School - International Community High School,8
DOE,School - PS 96 Joseph Lanzetta,8
DOE,School - PS 44 Thomas C Brown,8
DOE,School - Tag Young Scholars,8
DOE,School - PS 145 Andrew Jackson,8
DOE,School - PS 129 John H Finley,8
DOE,School - Family Life Academy Charter School,8
DOE,School - IS 313 School of Leadership Development,8
DOE,School - Bushwick Community High School,8
DOE,School - Legacy School,8
DOE,School - IS 296 The Anna Gonzalez Community School,8
DOE,School - School for Excellence,8
DOE,School - PS 196,8
NYCPPF,NYCPPF,8
AJC,AJC,8
DOE,School - The Urban Assembly Bronx Academy of Letters,8
DOE,School - PS 111 Seton Falls,8
DOE,School - PS 128 The Lorraine Tuzzo Juniper Valley Elementary School,8
DOC,DOC,8
DOE,School - The River School,8
DOE,School - PS 7 Samuel Stern,8
DOE,School - John Adams High School,8
DOE,School - IS 136 Charles O Dewey,8
DOE,School - Brooklyn School for Global Studies,8
DOE,School - PS 133 Fred R Moore,8
CAU,CAU,8
DOE,School - PS 4 Maurice Wollin,8
DOE,School - PS 8 Robert Fulton,8
DOE,School - PS 284 Lew Wallace,8
DOE,School - PS 45 Horace E Greene,8
DOE,School - PS 269 Nostrand,8
DOE,School - PS 15 Patrick F Daly,8
DOE,School - PS-IS 384 Frances E Carter,8
DOE,School - PS 55 Henry M Boehm,8
OCME,OCME,8
NYPD,Internal Affairs Bureau,8
MOPD,MOPD,7
DOE,School - PS 96 Richard Rodgers,7
DOE,School - PS 506 The School of Journalism and Technology,7
DOE,School - PS 105 The Blythebourne,7
DOE,School - The Bellaire School,7
DOE,School - PS 2 Meyer London,7
DOE,School - PS 199 Maurice A Fitzgerald,7
DOE,School - PS 169 Sunset Park,7
DOE,School - MS 35 Stephen Decatur,7
DOE,School - PS 67 Charles A Dorsey,7
DOE,School - PS 127 McKinley Park,7
DOE,School - IS 24 Myra S Barnes,7
DOE,School - ALC John Jay,7
DOE,School - School of Science and Technology,7
DOE,School - PS-MS 147 Ronald Mcnair,7
DOE,School - PS 73 Bronx,7
DOE,School - IS 73 - The Frank Sansivieri Intermediate School,7
DOE,School - High School of Economics and Finance,7
DOE,School - Dr Jacqueline Peek-Davis School,7
DOE,School - PS 770 New American Academy,7
DOE,School - PS 76 The Bennington School,7
DOE,School - PS 239,7
DOE,School - PS 226 - Bronx,7
DOE,School - PS 216 Arturo Toscanini,7
DOE,School - PS 68 Cambridge,7
DOE,School - PS 219 Kennedy-King,7
DOE,School - Franklin Delano Roosevelt High School,7
DOE,School - PS 97 Bronx,7
DOE,School - PS 81 Robert J Christen,7
DOE,School - PS 32 State Street,7
DOE,School - PS 114 - Luis Llorens Torres Schools,7
DOE,School - PS 102 The Bayview,7
DOE,School - Brooklyn Scholars Charter School,7
DOE,School - PS 1 Tottenville,7
DOE,School - JHS 223 The Montauk,7
DOE,School - PS 185 Walter Kassenbrock,7
DOE,School - Hebrew Language Academy Charter School,7
DOE,School - MS 113 Ronald Edmonds Learning Center,7
DOE,School - The Bronxwood Preparatory Academy,7
DOE,School - PS 17 Henry D Woodworth,7
DOE,School - JHS 54 Booker T Washington,7
DOE,School - PS 69 Vincent D Grippo School,7
DOE,School - PS 11 Kathryn Phelan,7
DOE,School - PS 3 Charrette School,7
DOE,School - IS 231 Magnetech 2000,7
DOE,School - High School of Hospitality Management,7
DOE,School - PS 21 Crispus Attucks,7
DOE,School - Middle School 322,7
DOE,School - Gateway School for Environmental Research and Technology,7
DOE,School - Academy for Health Careers,7
DOE,School - PS 11 Thomas Dongan School,7
DOE,School - PS 41 New Dorp,7
DOE,School - PS 105 The Bay School,7
DOE,School - PS 306 Ethan Allen,7
DOE,School - PS 13 Roberto Clemente,7
DOE,School - PS 70 Max Schoenfeld,7
DOE,School - PS 29 John M Harrigan,7
DOE,School - PS 111 Jacob Blackwell,7
DOE,School - Teachers College Community School,7
DOE,School - JHS 50 John D Wells,7
DOE,School - PS 127 Aerospace Science Magne,7
DOE,School - IS 2 George L Egbert,7
DOE,School - Franklin K Lane High School,7
DOE,School - PS 46 Edgar Allan Poe,7
DOE,School - PS 154 Jonathan D Hyatt,7
DOE,School - The Mott Hall School,7
DOE,School - School of Performing Arts,7
DOE,School - PS 151 Mary D Carter,7
DOE,School - PS 398 Walter Weaver,7
DOE,School - PS 215 Lucretia Mott,7
DOE,School - Explorations Academy,7
DOE,School - JHS 302 Rafael Cordero,7
DOE,School - Bronx Academy of Health Careers,7
DOE,School - PS 122 Mamie Fay,7
DOE,School - PS 213 New Lots,7
DOE,School - JHS 218 James P Sinnott,7
DOE,School - IS 51 Edwin Markham,7
DOE,School - PS 160 Walter Francis Bishop,7
DYCD,DYCD,7
DOE,School - PS 380 John Wayne Elementary,7
DOE,School - PS 134 Henrietta Szold,7
DOE,School - PS 170,7
DOE,School - PS 232 Lindenwood,7
DOE,School - PS 60 Woodhaven,7
DOE,School - IS 7 Elias Bernstein,7
DOITT,DoITT,7
DOE,School - PS 233 Langston Hughes,7
DOE,School - PS 4 Duke Ellington,7
DOE,School - PS 30 Hernandez-Hughes,7
DOE,School - PS 91 Richard Arkwright,7
DOE,School - PS 158 Bayard Taylor,7
DOE,School - IS 025 Adrien Block,7
DOE,School - PS 235 Lenox School,7
DOE,School - IS 10 Horace Greeley,7
DOE,School - PS 130 The Parkside,6
DOE,School - The 47 American Sign Language and English Lower School,6
DOE,School - Edward R Murrow High School,6
DOE,School - ESMT - IS 190,6
DOE,School - PS 131 Abigail Adams,6
DOE,School - PS 64 Pura Belpre,6
DOE,School - PS 22,6
DOE,School - IS 195 Roberto Clemente,6
DOE,School - PS 64 Robert Simon,6
DOE,School - PS 121 Throop,6
DOE,School - PS 25 Eubie Blake School,6
DOE,School - PS 47 Chris Galas,6
DOE,School - PS 33 Chelsea Prep,6
DOE,School - PS 112 Bronxwood,6
DOE,School - PS 72,6
DOE,School - PS 373 - Brooklyn Transition Center,6
DOE,School - PS 144 Col Jeromus Remsen,6
DOE,School - PS 109,6
DOE,School - Paul Robeson High School,6
DOE,School - PS 95 The Gravesend,6
DOE,School - PS 375 Jackie Robinson School,6
DOE,School - PS 156 Laurelton,6
DOE,School - PS 87 Middle Village,6
DOE,School - PS 37,6
DOE,School - PS 84 Steinway,6
DOE,School - PS 1 The Bergen,6
DOF,DOF,6
DOE,School - Conselyea Preparatory School,6
DOE,School - Brooklyn School for Music and Theatre,6
DOE,School - Acorn Community High School,6
NYCEM,NYCEM,6
DOE,School - PS 110 Florence Nightingale,6
DOE,School - PS 132 The Conselyea School,6
DOE,School - South Bronx Preparatory: A College Board School,6
DOE,School - PS 254 Dag Hammarskjold,6
DOE,School - PS 98 Shorac Kappock,6
DOE,School - IS 285 Meyer Levin,6
DOE,School - Theatre Arts Production Company School,6
DOE,School - PS 108 Sal Abbracciamento,6
DOE,School - PS 14 Fairview,6
DOE,School - PS 202 Ernest S Jenkyns,6
DOE,School - PS 69 Jackson Heights,6
DOE,School - High School for Leadership and Public Service,6
DOE,School - PS 53 Bay Terrace,6
DOE,School - PS 59 William Floyd,6
DOE,School - IS 98 Bay Academy,6
DOE,School - PS 73 Thomas S Boyland,6
DOE,School - IS 117 Joseph H Wade,6
DOE,School - PS 38 Roberto Clemente,6
DOE,School - PS 503 The School of Discovery,6
DOE,School - Space Shuttle Columbia School,6
DOE,School - The STAR Academy PS63,6
DOE,School - PS 230 Doris L Cohen,6
DOE,School - PS 18 John G Whittier,6
DOE,School - PS 161 Ponce De Leon,6
DOE,School - Bronx High School for Medical Science,6
DOE,School - PS 183 Dr Richard R Green,6
DOE,School - PS 84 Jose De Diego,6
OCHIA,OCHIA,6
DOE,School - PS 158 Warwick,6
DOE,School - Pace High School,6
DOE,School - PS 180 Hugo Newman,6
DOE,School - IS 145 Joseph Pulitzer,6
DOE,School - PS-IS 218 Rafael Hernandez Dual Language Magnet School,6
DOE,School - PS 8 Luis Belliard,6
DOE,School - MS 267 Math, Science and Technology,6
DOE,School - School for International Studies,6
DOE,School - PS 138 Brooklyn,6
DOE,School - PS 106 Parkchester,6
DOE,School - PS 214 Michael Friedsam,6
DOE,School - George Westinghouse Career and Technical Education High School,6
DOE,School - Jamaica High School,6
DOE,School - PS 251 Paerdegat,6
DOE,School - Maspeth High School,6
DOE,School - PS 99 Kew Gardens,6
DOE,School - PS 112 Lefferts Park,6
DOE,School - PS 48 Joseph R Drake,6
DOE,School - The Angelo Patri Middle School,6
DOE,School - PS 308 Clara Cardwell,6
DOE,School - PS 298 Dr Betty Shabazz,6
DOE,School - George Washington YABC,6
DOE,School - PS 40 George W Carver,6
DOE,School - PS 199 Jessie Isador Straus,6
DOE,School - PS 153 Adam Clayton Powell,6
DOE,School - PS 188 Michael E Berdy,6
DOE,School - PS 306,6
DOE,School - PS 93 William H Prescott,6
DOE,School - Sheepshead Bay High School,6
DOE,School - Benjamin Banneker Academy,6
DOE,School - PS 140 Nathan Straus,6
DOE,School - PS 94 The Henry Longfellow,6
IA,IA,6
DOE,School - Bronx Health Sciences High School,6
DOE,School - Essence School,6
DOE,School - Pioneer Academy,6
DOE,School - PS 21 Philip H Sheridan,5
DOE,School - PS 54 Hillside,5
